Starting program at Mon Jan 17 12:53:24 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 8192, 100, 20
play, 0
52,  14.214,   0.000
54,   7.284,   0.000
56,   2.514,   0.000
58,   0.559,   0.000

play, 2
 0, 640.332,   0.000
 2, 611.822,   0.000
 4, 548.855,   0.000
 6, 507.145,   0.000
 8, 468.729,   0.000
10, 441.138,   0.000
12, 405.631,   0.000
14, 381.234,   0.000
16, 374.851,   0.000
17, 322.594,   0.000
19, 292.824,   0.000
21, 270.204,   0.000
23, 242.425,   0.000
25, 213.514,   0.000
27, 192.812,   0.000
29, 167.808,   0.000
31, 146.627,   0.000
33, 124.476,   0.000
35, 107.451,   0.000
37,  92.264,   0.000
39,  75.684,   0.000
41,  63.960,   0.000
43,  53.196,   0.000
45,  44.046,   0.000
47,  34.258,   0.000
49,  24.459,   0.000
51,  16.377,   0.000
53,  10.000,   0.000
55,   4.721,   0.000
57,   1.580,   0.000
59,   0.496,   0.000

play, 3
 0, 649.526,   0.000
 2, 602.980,   0.000
 4, 562.869,   0.000
 6, 527.133,   0.000
 8, 489.186,   0.000
10, 446.524,   0.000
12, 422.337,   0.000
14, 377.799,   0.000
16, 344.002,   0.000
18, 318.338,   0.000
20, 285.284,   0.000
22, 255.244,   0.000
24, 225.813,   0.000
26, 201.846,   0.000
28, 178.567,   0.000
30, 160.977,   0.000
32, 156.073,   0.000
33, 128.651,   0.000
35, 107.902,   0.000
37,  98.332,   0.000
39,  83.782,   0.000
41,  70.356,   0.000
43,  57.416,   0.000
45,  45.299,   0.000
47,  33.865,   0.000
49,  24.220,   0.000
51,  16.523,   0.000
52,  13.361,   0.000
53,   9.071,   0.000
55,   4.182,   0.000
57,   1.320,   0.000
59,   0.497,   0.000

play, 4
 0, 650.086,   0.000
 2, 603.797,   0.000
 4, 566.073,   0.000
 6, 530.651,   0.000
 8, 484.718,   0.000
10, 447.296,   0.000
12, 409.923,   0.000
14, 382.643,   0.000
16, 350.169,   0.000
18, 317.741,   0.000
20, 286.390,   0.000
22, 259.601,   0.000
24, 234.317,   0.000
26, 208.248,   0.000
28, 182.965,   0.000
30, 158.364,   0.000
32, 138.102,   0.000
34, 121.645,   0.000
36,  99.346,   0.000
38,  84.609,   0.000
40,  76.079,   0.000
42,  63.247,   0.000
44,  50.651,   0.000
46,  40.097,   0.000
48,  29.599,   0.000
49,  23.881,   0.000
51,  16.193,   0.000
53,   8.183,   0.000
55,   4.428,   0.000
57,   1.419,   0.000
59,   0.496,   0.000

play, 5
 0, 642.522,   0.000
 2, 606.780,   0.000
 4, 563.761,   0.000
 6, 532.204,   0.000
 8, 493.075,   0.000
10, 458.207,   0.000
12, 420.911,   0.000
14, 389.343,   0.000
16, 368.314,   0.000
18, 327.272,   0.000
20, 294.590,   0.000
22, 266.731,   0.000
24, 241.395,   0.000
26, 213.149,   0.000
28, 188.773,   0.000
30, 167.052,   0.000
32, 144.991,   0.000
34, 125.754,   0.000
36, 105.878,   0.000
38,  88.367,   0.000
40,  71.842,   0.000
42,  59.300,   0.000
44,  47.594,   0.000
46,  40.294,   0.000
48,  29.290,   0.000
50,  20.298,   0.000
52,  14.799,   0.000
53,  11.285,   0.000
55,   4.614,   0.000
57,   1.535,   0.000
58,   0.617,   0.000

play, 6
 0, 640.725,   0.000
 2, 601.025,   0.000
 4, 567.934,   0.000
 6, 523.175,   0.000
 8, 488.059,   0.000
10, 450.217,   0.000
12, 413.208,   0.000
14, 381.208,   0.000
16, 353.019,   0.000
18, 321.056,   0.000
20, 288.324,   0.000
22, 258.376,   0.000
24, 230.954,   0.000
26, 205.453,   0.000
28, 181.849,   0.000
30, 159.299,   0.000
32, 141.131,   0.000
34, 120.430,   0.000
36, 103.710,   0.000
38,  90.337,   0.000
40,  77.783,   0.000
42,  63.814,   0.000
44,  50.366,   0.000
46,  38.383,   0.000
48,  28.244,   0.000
50,  19.734,   0.000
52,  12.472,   0.000
54,   7.361,   0.000
56,   4.932,   0.000
57,   2.518,   0.000
58,   0.996,   0.000
59,   0.496,   0.000

play, 7
 0, 652.492,   0.000
 2, 610.473,   0.000
 4, 560.779,   0.000
 6, 521.163,   0.000
 8, 484.273,   0.000
10, 453.533,   0.000
12, 417.113,   0.000
14, 388.836,   0.000
16, 360.262,   0.000
18, 327.413,   0.000
20, 298.130,   0.000
22, 269.416,   0.000
24, 241.315,   0.000
26, 215.874,   0.000
28, 191.557,   0.000
30, 168.054,   0.000
32, 142.472,   0.000
34, 121.889,   0.000
36, 103.080,   0.000
38,  86.078,   0.000
40,  70.035,   0.000
42,  58.084,   0.000
44,  49.193,   0.000
46,  39.992,   0.000
48,  29.358,   0.000
50,  20.911,   0.000
52,  13.515,   0.000
54,   8.991,   0.000
55,   6.565,   0.000
56,   3.779,   0.000
57,   2.303,   0.000
58,   0.807,   0.000

play, 8
 0, 638.838,   0.000
 2, 602.286,   0.000
 4, 565.963,   0.000
 6, 521.604,   0.000
 8, 485.475,   0.000
10, 443.545,   0.000
12, 410.394,   0.000
14, 377.249,   0.000
16, 346.719,   0.000
18, 315.305,   0.000
20, 285.682,   0.000
22, 257.640,   0.000
24, 230.733,   0.000
26, 204.861,   0.000
28, 180.500,   0.000
30, 155.973,   0.000
32, 135.431,   0.000
34, 116.298,   0.000
36, 101.579,   0.000
38,  90.596,   0.000
40,  74.588,   0.000
42,  62.033,   0.000
44,  49.778,   0.000
46,  38.927,   0.000
48,  29.093,   0.000
50,  20.511,   0.000
52,  12.342,   0.000
54,   6.736,   0.000
55,   3.581,   0.000
57,   0.956,   0.000
59,   0.495,   0.000

play, 9
 0, 641.643,   0.000
 2, 602.489,   0.000
 4, 566.327,   0.000
 6, 532.314,   0.000
 8, 496.628,   0.000
10, 452.859,   0.000
12, 414.650,   0.000
14, 385.313,   0.000
16, 358.313,   0.000
18, 321.549,   0.000
20, 290.799,   0.000
22, 262.742,   0.000
24, 237.372,   0.000
26, 210.152,   0.000
28, 184.813,   0.000
30, 163.801,   0.000
32, 141.662,   0.000
34, 121.774,   0.000
36, 103.546,   0.000
38,  88.987,   0.000
40,  75.101,   0.000
42,  62.608,   0.000
44,  52.921,   0.000
46,  41.257,   0.000
48,  32.470,   0.000
50,  21.460,   0.000
52,  14.410,   0.000
53,  12.133,   0.000
54,   7.807,   0.000
56,   2.525,   0.000
58,   0.613,   0.000

play, 10
 0, 646.362,   0.000
 2, 608.535,   0.000
 4, 565.151,   0.000
 6, 531.565,   0.000
 8, 492.480,   0.000
10, 461.124,   0.000
12, 422.555,   0.000
14, 400.661,   0.000
16, 367.630,   0.000
18, 325.287,   0.000
20, 292.985,   0.000
22, 273.847,   0.000
24, 237.305,   0.000
26, 209.204,   0.000
28, 183.226,   0.000
30, 163.051,   0.000
32, 141.246,   0.000
34, 121.566,   0.000
36, 104.135,   0.000
38,  88.230,   0.000
40,  74.109,   0.000
42,  62.987,   0.000
44,  51.553,   0.000
46,  39.529,   0.000
48,  29.031,   0.000
50,  20.754,   0.000
52,  13.819,   0.000
54,   6.784,   0.000
56,   2.953,   0.000
58,   0.791,   0.000
59,   0.496,   0.000

play, 11
 0, 648.969,   0.000
 2, 611.629,   0.000
 4, 563.217,   0.000
 6, 521.968,   0.000
 8, 485.018,   0.000
10, 445.456,   0.000
12, 412.995,   0.000
14, 379.837,   0.000
16, 345.364,   0.000
18, 318.001,   0.000
20, 287.297,   0.000
22, 256.888,   0.000
24, 228.358,   0.000
26, 203.256,   0.000
28, 179.157,   0.000
30, 158.555,   0.000
32, 137.299,   0.000
34, 116.286,   0.000
36, 104.436,   0.000
38,  87.554,   0.000
40,  79.767,   0.000
42,  65.634,   0.000
44,  52.670,   0.000
46,  40.661,   0.000
48,  30.735,   0.000
50,  20.920,   0.000
52,  13.774,   0.000
54,   6.328,   0.000
56,   2.529,   0.000
59,   0.498,   0.000

play, 12
 0, 651.476,   0.000
 2, 608.016,   0.000
 4, 571.421,   0.000
 6, 528.175,   0.000
 8, 487.213,   0.000
10, 450.101,   0.000
12, 414.371,   0.000
14, 380.261,   0.000
16, 348.839,   0.000
18, 316.201,   0.000
20, 291.808,   0.000
22, 255.737,   0.000
24, 229.156,   0.000
26, 202.694,   0.000
28, 178.350,   0.000
30, 157.490,   0.000
32, 135.052,   0.000
34, 120.396,   0.000
36, 108.177,   0.000
38,  95.842,   0.000
39,  85.145,   0.000
41,  69.318,   0.000
43,  58.665,   0.000
45,  43.982,   0.000
47,  35.604,   0.000
49,  25.204,   0.000
50,  19.518,   0.000
52,  12.864,   0.000
54,   7.190,   0.000
56,   2.615,   0.000
58,   0.609,   0.000

play, 13
 0, 649.257,   0.000
 2, 606.209,   0.000
 4, 567.541,   0.000
 6, 533.050,   0.000
 8, 497.893,   0.000
10, 412.844,   0.000
12, 241.850,   0.000
14,  24.613,   0.000

play, 14
 0, 642.655,   0.000
 2, 603.743,   0.000
 4, 560.564,   0.000
 6, 521.028,   0.000
 8, 482.033,   0.000
10, 441.485,   0.000
12, 407.054,   0.000
14, 383.481,   0.000
16, 346.256,   0.000
18, 315.583,   0.000
20, 286.958,   0.000
22, 267.163,   0.000
24, 237.119,   0.000
26, 216.894,   0.000
28, 187.208,   0.000
30, 163.584,   0.000
32, 140.816,   0.000
34, 122.438,   0.000
36, 101.624,   0.000
38,  84.458,   0.000
40,  69.346,   0.000
42,  53.634,   0.000
44,  43.328,   0.000
